S/N,PROJECT TITLE,PROJECT CATEGORY,Country(diry),OWNER NAME,BLURB
381C,A Whale Who Dreamt of a Snail: A Children's Book,Children's Books,United States,William Heimbach & Angelina Tolentino,A bedtime picture book about our dreamsand how we are connected to the other inhabitants of our world.
137B,TWIST: adapted from the novel Oliver Twist,Plays,United States,Adam Quinn & Matt Kunkel,"Using 9 actors, TWIST focuses on the horror and unjust in 1837 London.  Think Peter and the Starcatcher meets American Horror Story."
122B,We Have To Go Back: Lost The Musical,Musical,United States,Stephen Parker,Six seasons of TV's most beloved sci-fi drama packed into one night of hilarious musical absurdity.
104C,,,,,
291C,Medusa's Trap by Erik Satie: rarely staged French classic,Experimental,United Kingdom,James Ellis,"Before the Satie 150 b day next yearI wanted to stage his pre-surrealist play. A mix of theatre, dance & musicit's a rare delight!"
351C,Mother Courage and Her Children,Theater,United States,Bricklayers Theatre Co.,The Bricklayers are producing the Chicago Premiere of Tony Kushner's version of Mother Courage and Her Children.  But we need cash to make it happen!
239C,ASSASSINATION THEATER,Theater,United States,Hillel Levin,A Staged Reading and World Premier of ASSASSINATION THEATER--a factual presentation about the conspiracy to kill JFK
131C,The Neverland Players at the Minnesota Fringe Festival,Festivals,United States,The Neverland Players,"""Best kids show of the Fringe!""The Neverland Players are returning to Minneapolis to perform at the 2014 Minnesota Fringe Festival!"
238B,Swipe Right Theatre's 2 Become 1,Musical,United Kingdom,Swipe Right Theatre,Comedy pop-musical following four 90s girls embarking on a wild night of speed dating. Witness dating before the takeover of Tinder.
339B,NEVERWHERE: Neil Gaiman's Nightmare Wonderland @ Rorschach,Theater,United States,Rorschach Theatre,Monsters are real under the streets of London and death waits in the dark of Night's Bridge. Gaiman's cult-classic staged by Rorschach.
20,Ignite the Schwa Fire,Periodicals,US,Schwa Fire,A digital publication about language and life
516C,Book de Tour,Art Books,United States,Greig Leach,Book de Tour - A unique visual record of the 2014 Tour de France to treasure forever.
625C,Add Fuel to the Crackling of Single Thread's Firebrand,Theater,Canada,Single Thread Theatre Company,"Firebrand is an intensely intimate theatrical exploration into the final years of Toronto's first mayor, William Lyon Mackenzie."
491C,ANTIGONE.,Theater,United States,Sophie Paterson,An ensemble generated multi-media retelling of Antigone in post-apocalyptic Seattle.
79B,Crockett's Fall' - a short story illustrated by printmaking,Art Books,United Kingdom,Anna Fennel Hughes,A short story about the turbulent relationship between Crockett and Poppy. Beautifully illustrated using printmaking techniques.
254B,Tarocco,Theater,United States,Nat Allister,A visionary three-part circus for the stage.
353B,THE SLOPPY SCOTSMAN,Publishing,United Kingdom,Leo Taylor,"THE SLOPPY SCOTSMAN is a new greetings card publishing business looking to put out quirky, funny and original card designs."
466C,Thimble Theatre presents: Walk Ashore,Theater,United Kingdom,Thimble Theatre,"Drawing on storytelling, physical theatre, circus and live percussion, Walk Ashore is an imaginative new piece of visual theatre."
35,Guernica 2014 Annual,Literary Journals,United States,Guernica Magazine,"After ten years of publishing free online content on a daily basis, Guernica is going analog. Pre-order your copy of our first Annual."
52,The (out)Siders Project,Plays,United States,Cry Havoc Theater Company,A new work inspired by the classic novel and created by Dallas teens under the direction of professional artists.
262B,Loom Ensemble--Second Season!,Theater,United States,Loom,We are busy training and rehearsing for our first full length production premiering at LaMama this February. Get excited!
456C,I Pray Hardest,Nonfiction,United States,Kyle Garret,"""I Pray Hardest When I'm Being Shot At"" is a true story of love and war."
453B,"The premiere of Burglars of Hamm's ""The Behavior of Broadus""",Musical,United States,Burglars of Hamm,"The amazing, sort-of-true story of John Broadus Watson, father of Behaviorism and modern advertising: with singing, dancing rats!"
383C,EVOLUTION: The Art of Rebecca Guay 1993-2014,Art Books,United States,Rebecca Guay,This is the first comprehensive collected book of works by Rebecca Guay.
348C,Project Dictee,Theater,United States,Soomi Kim,"Soomi Kim's performance project""Dictee"" will represent NYC in the 3rd National Asian American Theater Festival in Los Angeles."
253C,Open Letter Theatre presents 'Boys' by Ella Hickson,Plays,United Kingdom,George Naylor,Open Letter Theatre presents 'Boys' by Ella Hicksonat 2015's Edinburgh Fringe Festival! Four studentsone flatone last party!
13,There Is Nothing Beautiful Around Here,Art Books,United States,Paccarik Orue,An art book about unexpected beauty in a complex place.
449B,"The Last Time We Were Here, a new musical: Send us to NYC!",Musical,United States,Jeremiah Hobbs & Jessica De Maria,THE LAST TIME WE WERE HERE needs to go THERE: Send us to NYC!
451B,Caught,Theater,United Kingdom,Leah Lawry-Johns,"Six characters. Three actresses. One murder.A new play about crime, betrayal and deceit comes to the Pleasance Theatre."
612C,Raditatical: A Journey in Rhythm,Immersive,United States,Bronkar Lee,"Original live stage show filled with music, laughter, and raw energy! Powerful 6-person cast entertains & makes music WITH  audiences."
282B,Boost House,Poetry,United States,Steve Roggenbuck,"Boost House will be a publisher and intentional community in Maine, USA, whose goal is to make it cool to be positive and activist."
361B,Girlfag: A Life Told in Sex and Musicals,Nonfiction,United States,Janet W. Hardy,"A new memoir/exploration by Janet W. Hardy, the author or coauthor of The Ethical Slut and many other classics"
400B,LIVING AT HOME ,Theater,United States,Nina Corrado,"Set in 1963, John struggles to find the meaning of life after dropping out of college and now living at home. "
340C,Three Pianos,Theater,United States,Rick BurkhardtAlec Duffy & Dave Malloy (deleted),Three Pianos is a mayhem-driven exploration of Franz Schubert's Winterreise running February 25 - March 20 at NYC's Ontological Theater. LOOK OUT!
73,"as of yet, untitled",Theater,United States,William Etundi,"A Brooklyn creative space that hosts projects, shows and performances that can't happen anywhere else.  From the creators of TheDanger."
268C,SIMPLE MATTERS brings big laughs to Edinburgh and the world,Theater,United States,dreamawakeprod,SIMPLE MATTERS is Slapstick Surrealism at it's finest. Starring alumni from Cirque Du SoleilDell'Arte School+ S.F. Clown Conservatory
4,1000 Fathoms Radio Show: Season One,Radio & Podcasts,US,Erin Gleeson,"The show is called ""1000 Fathoms"" and it features content you won't find on most public radio stations."
267C,Brookledge Follies 2014 Season and BEYOND!,Theater,United States,Erika Larsen,The Brookledge Follies is a Variety Arts collective. This project will restore Brookledge theater and allow the Follies to flourish.
191B,Halfway through the Story of Our Life,Theater,United States,Throes Theater,"Three actors, three musicians, three composers. A dark comedy inspired by Spalding Gray."
181B,Fucking A,Theater,United States,UrbanTheater Company,The professional Midwest Premiere of Suzan-Lori Parks' epic play exploring the depths of a mother's love for her child.
187B,Pneumatica,Festivals,United States,Squonk Opera,"Pneumatica: an event about air, made by air, powered by air."
106B,The Spinning Wheel: a son remixes a father's radical archive,Festivals,United States,Baba Israel,"A collab between Baba Israel, Leo Kay, and Yako 440 to remix, exhibit, and dialogue with steve ben israel's archive of art and activism"
80B,A is for Boat - The silent letter alphabet book.,Art Books,United States,Stewart Huntington,Finally an honest ABC book! 'A is for Boat' explores the capricious nature of English with a picture book of silent letters.
127B,"Cannibal: The Musical, Live in Wilmington!",Musical,United States,Browncoat Theatre,"Pineapple-Shaped Lamps and Guerilla Theatre return with another must see production, Cannibal! The Musical."
101,The Winter Workshop Series ,Theater,United States,The Bridge,Help us premiere the work of two critically-acclaimed Canadian playwrights in New York City. All US donations are tax-deductible.
374B,Dark Matter Premiere Season,Theater,United States,Jordan Bean,Art as activism.
271B,What Would Tina and Amy Do? at Captial Fringe 2014,Theater,United States,Larissa Kruesi & Mikaela Saccoccio,"A new play about friendship, love, and taking control of your life."
94B,Forefront Festival 2015,Festivals,United States,Nathan Mancini,"Christian art doesn't have a great track record. Let's change that together. Join us for a festival of film, music, discourse and more."
408C,"""Laid Plans"" A New Play by Josh Sohn",Theater,United States,Katharine Henner,"""Laid Plans"" is a play written by Brooklyn-based writer Josh Sohn & selected as a finalist for the Samuel French Off Off Broadway Short Play festival."
312C,H.P. Lovecraft Literary Podcast - Live 2015,Theater,United States,Christopher Lackey,H.P. Lovecraft Literary Podcast will be performing live at NecronomiCon Providence August 22nd and Chicago October 10th.
106C,Rorschach Theatre's TRUTH & BEAUTY BOMBS: A SOFTER WORLD,Immersive,United States,Rorschach Theatre,Rorschach Theatre will create and produce a brand new play inspired by the sharpdarkweird and hilarious web comic A SOFTER WORLD.
626C,David J's new 'Black Dahlia' theatrical production,Theater,United States,David J Haskins,Theatrical production with live music by David J ( Bauhaus  / Love & Rockets ) & Ego Plum ( Ebola Music Orchestra / Gogol project )
91B,Seabird is Going to New York!,Immersive,Canada,James G. King & Marie Farsi,Help Theatre Babelle's Seabird is in a Happy Place make the flight from West Coast to East for its NY Premiere!
187C,The Wild Plan: a new kind of national theatre tour,Theater,United States,Ben Gansky,The Wild Plan is a new way to produce and tour theatre across the countrycreating shared experiences of wonder for communities.
195B,Cast Recording for The Lockout: a Musical,Theater,United States,Ben Fort,"Can the NBA lockout rock out? Yes. Six Hours Short records 12 songs from their original comedy, The Lockout: a Musical."
521C,Astronomy Diary,Nonfiction,United Kingdom,Julian,Discover the beauty of the night sky. This handy pocket-sized diary is packed with everything a stargazer needs to know in 2014.
237B,PIRANHA HEIGHTS by Philip Ridley at the Old Red Lion,Theater,United Kingdom,Leyla McLennan,"Philip Ridley's dark and gripping play 'Piranha Heights' at the Old Red Lion Theatre, 11 Nov - 6 Dec. Support our access schemes."
493C,NIRBHAYA - Breaking the silence about violence against women,Theater,United Kingdom,Nirbhaya Company,NIRBHAYA - Inspirational theatre empowering the survivors of gender-based violence to speak out worldwide
473B,"ArcheDream's ""Inside Out""- first formal performance in USA",Theater,United States,ArcheDream for HUMANKIND,"After delighting hundreds of audiences in Taiwan & Portugal, ArcheDream is bringing a newly revamped ""Inside Out"" to the USA."
255C,LOL: The End,Theater,United States,uosato,"LOL: The End is a new show by a family of clowns about natural and human-made disasters, premiering in NYC in February."
98C,Build the House of Dad's!,Spaces,United States,Dad's Garage Theatre Company,Dad's Garage Theatre Company needs your help buying our newforever home by hitting our $150000 STRETCH GOAL!
392C,"""Turn That Thing Around"" Goes to Chicago!!!",Immersive,United States,Aaron Harris Woodstein,Jacka bi college freshmanis in for the ride of his life after a HIV test. A 1059 mi car ride turns into a Full-Blown Manic Episode!
388B,Lelavision's Heavy Metal DeVices,Theater,United States,Lelavision,Lelavision's newest and biggest show features eight characters perfoming on twenty outrageous metal instruments.
371C,Gigantic Sequinsa literary arts journalIssue 2.2,Literary Journals,United States,kimberly ann southwick,Gigantic Sequins is a literary arts journal looking to put out its 2.2 issue this late spring/early summer. 
449C,Settled Wanderers: translated Saharawi poetry by Sam Berkson,Poetry,United Kingdom,Kit Caless,Sam Berkson will revisit the Saharawi refugee camps in Algeria to collect Saharawi poetry to translate & publish with Influx Press.
582C,The Explorer (Rediscover the marionette puppet),Theater,United Kingdom,Lori Hopkins (Lauren Nayak),The Explorer will be a modern marionette show for all ages about discovery and surprise. Rediscover this rarely-used form of puppet.
364B,Tom Tom Magazine: A Magazine About Female Drummers ISSUE #4,Nonfiction,United States,Tom Tom Magazine,Help us raise money to print Issue #4 of the ONLY magazine for female drummers in the WORLD!
583C,Broadway Arts Lab Company presents Elf JR: The Musical,Musical,United States,Broadway Arts Lab Company,A nonprofit arts education program for young people to explore their unique and individual talents through Musical Theatre.
344B,The Doom That Came to Fiddle Creak (Marionette Puppet Play),Theater,United States,CastIron Carousel Marionette Troupe,"A darkly beautiful, Lovecraft-influenced, marionette puppet play for adults, performed this Fall in Portland OR, and beyond."
234C,BERTY - an illustrated artist's novel,Art Books,United States,Project BERTY,"Part of a larger art project involving an exhibition, BERTY is a journey through classic texts on the machine and the human condition."
363B,Panacea,Fiction,United States,No One's Home,"Panacea is a collection of short, experimental fictions & essays."
383B,"Imagined, Armenia through Shadow Puppetry",Theater,United States,Hany Hommos & Nini Ayach,A collaborative project in Yerevan to create a puppetry project inspired by personal accounts relating to Armenian identity.
270C,"Bring ""Making Love Over There"" to the 2012 Hollywood Fringe",Theater,United States,Dana Murphy,A series of snapshotswith original music & the mad joy of dress-updozens of characters are trying to remember what Love looks like.
91C,SIOUX MAGAZINE,Publishing,United States,Sioux Magazine,SIOUX MAGAZINE is a collaboration of creative minds and dexterous hands exploring the uncharted ideas of the limitless human psyche.
366B,Publication of The Homeland of Pure Joy by William Dewey,Fiction,United States,maybeparade press,William Dewey's third novel is the first major publication for maybeparade press.  We are seeking funding for printing and promotions.
108C,We Happy Few Presents The Tempest,Theater,United States,We Happy Few Productions,WHF conjures the primal magic of a living island using only the bodies and voices of an eight-actor ensemble - and Shakespeare's words.
635C,Beans! Beans! Beans! Tour!,Theater,United States,PuppeTyranny!,a new musical-melodrama that bagoes the floomsies in your doodle. World tour (America only)
217C,I Camminatori in teatro,Experimental,Italy,Riccardo Negrelli,"Raccogliamo fondi per finanziare il progetto di sviluppo teatrale del romanzo a fumetti ""I Camminatori""scritto da Otto Gabos"
642C,The Witches,Immersive,United States,Cast of The Witches,The Witches is a nightmare immersive theatre experience that takes you on a terrifying journey through Macbeth's murderous rise & fall.
90B,Quarantine: The Experience,Theater,United States,Blackout Theatre,"Quarantine: The Experience is an interactive haunted house unlike any other, a performance that puts the audience in the story!"
178C,The Van Dyck Vanishments,Immersive,United Kingdom,The Milo Wladek Co.,Step into a machine that takes you INSIDE works of art. This immersive experience at GEEK 2015 combines gamingtheatre and fine art.
112,99 Stock presents Edward Gant's Amazing Feats of Loneliness!,Theater,US,99 Stock Productions,An Anthony Neilson play promised to marvel and amaze! This is the launching project for 99 Stock Productions!
301C,Los Otros Dreamers | The Book,Nonfiction,United States,Jill Anderson & Nin Solis,A book about the dreams that live on after deportation and return to a country one barely knows.
129C,I Do Wonder,Plays,United States,Matt Bayer,A Sci-fi play in several vignettes that will narrate an alternate history in the mid-20th century.
91,Twelfth Night on 12th Night,Theater,United States,Acting Up (in Acadiana),Help Acting Up (in Acadiana) make Twelfth Night happen on 12th Night.
176C,Queen Mab's Steampunk and Fairie Street Festival,Festivals,United States,The Enchanted City,"Help support this free steampunk and fairie themed street festival in TroyNY featuring music, performances, vendors and more!"
135,"""Annie"" - Help CEHS Make This Happen!",Musical,US,Reagan Educational Center Foundation,"CEHS is producing ""Annie"" but we need your help! Please donate to help offset the costs of this show including 3-12 grade students."
247B,WOLF,Theater,United States,Deke Weaver,"WOLF:  3rd performance in The Unreliable Bestiary - a show for every letter of the alphabet, each letter an endangered species."
95,The Voodoo Chalk Circle,Theater,United States,The State Theatre,"The State Theatre presents ""The Voodoo Chalk Circle,"" setting Brecht's masterpiece in New Orleans after hurricane Katrina. "
443C,The Gin Thief,Fiction,United States,SCBarrus,A steampunk gangland serial following Yevylina foreign girl struggling to survive a hostile city by joining a gang known as Scarlets.
78,Once Upon a Time: Cabaret,Theater,US,Giuseppe Agostaro,An escapist variety show featuring a host of universal characters in situations full of parody and gags.
189C,Frankenstein: The Metal Opera,Musical,United Kingdom,Richard Campbell,This Hallowe'enwitness a faithful re-telling of the classic gothic novel during a night at the opera like no other.
562C,DBR's SYMPHONY FOR THE DANCE FLOOR,Theater,United States,Daniel Bernard Roumain (DBR),"SYMPHONY FOR THE DANCE FLOOR is an imaginative fusion of music, art and movement, created by composer Daniel Bernard Roumain (DBR)."
121B,The Game(ing) Show,Theater,United States,Urban Garden Performing Arts,"Combining game play with live performance in a way that lets the audience play the performance, or play the play."
164B,Support Young Activist in The Liberty Tree,Musical,United Kingdom,Public Domain Productions,Support Young Activist in their involvement in The Liberty Tree
50,Cornermen' - Smoke & Oakum Theatre return to the Fringe!,Plays,United Kingdom,Oliver Forsyth,"Once again Smoke & Oakum Theatre is heading up to the Edinburgh Festival with its latest show, 'Cornermen'. Welcome to our Kickstarter!"
81C,A Guidebook of Alternative Nows,Art Books,United States,Amber Hickey,"A book featuring visionary thinkers and makersilluminating more ecologicallyeconomicallyand socially just versions of ""now."""
455C,Assemble Daily News,Art Books,United States,Eric Lidji,During SeptemberAssemble Daily News published 151 illustrations of daily life in Pittsburgh. Please help me collect them in a book.
128B,RIOT - LA'S ALTERNATIVE COMEDY FESTIVAL,Festivals,United States,Abbey Londer,A weekend long block party celebrating comedy in Downtown Los Angeles coming in the Fall of 2012.
289C,ON OUR WAY,Theater,United States,On Our Way,A performing arts collective aimed to give a voice to young creators/artists/performers through unique and original works.
388C,Learning How to Drown: A Musical,Theater,United States,Patricia Noonan,A new multi-generational musical love story by Patricia Noonan and Amanda Jacobs inspired by the Irish myth of the Selkies.
85B,Scream For Iced Cream By Jesus Abraham Correa VII,Poetry,United States,Thomas L. Vaultonburg,Iced Cream is the first book of poetry and art by legendary Rockford artist Jesus Correa and the fifth book by Zombie Logic Press.
551C,LOLPERA: An Epik Opera About LOLcats,Theater,United States,lolpera,"Using only words from LOL, cat images and an original score, LOLPERA is an operatic, dystopian clash between low-brow humor and high art."
167B,bom circo!,Experimental,United States,Beau Poehlman,"A modern circus theatre show featuring local performers of many kinds, collaborating to create entertainment and fun for all ages."
361C,Transgender Shakespeare Company - Inaugural Workshop,Theater,United Kingdom,Transgender Shakespeare Company,"Inaugural voice, movement, and gender workshop for the world's first Shakespeare company run entirely by transgender artists."
432B,"Borg Like Me, the Writings of Gareth Branwyn",Nonfiction,United States,Gareth Branwyn,"Cyberculture pioneer Gareth Branwyn (Boing Boing, Mondo 2000, Wired, MAKE) presents a compelling collection of his work."
96B,Saxon Court at Southwark Playhouse,Plays,United Kingdom,Made By Brick,A razor sharp satire to darken your Christmas.
125,The Pirate Laureate of Port Townby Zachary Fernebok,Theater,US,Jessica Chinelli,A poetic pirate must decide between the greater of two booties: his peerless pirate crew or the land-locked love of his life.
504C,"Sam Shepard's ""Fool for Love""",Theater,United States,Matthew Hill,"This production of ""Fool for Love"" will premiere at the 2012 Hollywood Fringe Festival."
488B,Show:UP! -- The Best Dinner Party Ever ON TOUR,Immersive,United States,The WBM Group,"Show:UP! is a new immersive, interactive, performance experience that takes place in real homes."
325B,LabRats Present 'Harry and Pep',Theater,United States,James,"Our first production, 'Harry and Pep'. We've spent the year working and now we're looking to share it with the world, with your help"
160C,Casting Shadows: Extraordinary Tales from New Writers,Fiction,United Kingdom,Word Machine Press,Casting Shadows is an anthology of eight haunting tales illustrated with beautiful black and white images.
87B,Hiro Tanaka - Photo Book,Art Books,United States,Asian Man Records,"A photo collection by Hiro Tanaka, culled over many years spent traveling with bands like Cursive, Lawrence Arms and Minus The Bear."
356B,"Tu Publishing: a small, independent multicultural SFF press for children and YA",Children's Books,United States,Stacy Whitman,"Tu Publishing will publish fantasy and science fiction for children and young adults, emphasizing multicultural characters and settings."
640C,True West in the True West,Theater,United States,Nick,"USC Alumni Nick Thurston, Chase Williamson and Matthew Little team up to bring Sam Shepard's brutal True West to life in Los Angeles."
101C,Strange Weather,Musical,United States,Alexa Andreas,The music of Tom Waitsa wildwhiskey-soaked underworlda spectral band  and the living memories of a troubled man.
362B,Littlest Lovecraft: The Call of Cthulhu,Children's Books,United States,Tro Rex & Eyo Bella,A collaborative full color illustrated children's book style adaptation of H. P. Lovecraft's The Call of Cthulhu.
470B,Bring NIGHT SWEATS to life!,Theater,United States,EMP Collective,"Join B'more/DC artists in January on a mixed-media, on-your-feet theatrical voyage through an acid-laced dreamscape..."
271C,SplatterPhilly Fringe Show 2014,Theater,United States,Sean Connolly,Splatter is a darkdisturbingand surprisingly funny thriller. Directed by Sean Connolly for the 2014 Philly Fringe Festival.
439B,Firewords Quarterly,Periodicals,United Kingdom,Dan Burgess,Firewords Quarterly is a newsprint magazine packed full of powerful fiction and poetry - all enhanced by bold design.
114,Twisted -- A New Starkid Musical,Theater,United States,Team Starkid,"In this unauthorized parody, we take what ""Wicked"" did for the Witch of the West and apply it to the Royal Vizier from Aladdin."
470C,"""Poor People"" at FringeNYC 2015",Festivals,United States,Irene Kapustina,"""Poor People"" is a poignant adaptation to the stage of Dostoyevsky's classic novella. This work explores love's triumph over poverty."
630C,"Action! Theatre Co. Presents Kurt Vonnegut's ""Slaughterhouse Five""",Theater,United States,Action! Theatre Company,Action! Theatre Co. presents West Coast Premiere of Eric Simonson's acclaimed adaptation of Kurt Vonnegut's classic anti-war novel.
316B,Wisconsin Studio Productions Presents 9 CIRCLES,Theater,United States,Stuart Mott,"""It happened in the middle of their war and you have scared them, Mr. Reeves. You tore the war open. You have done the unimaginable."""
615C,Police Cops,Theater,United Kingdom,This Theatre,"Fast paced 1970's Police comedy-drama; a satirical, cinematic joyride."
274B,Made in Birmingham performed at Edinburgh Fringe 2014,Festivals,United Kingdom,KILN (formerly Kindle Theatre),"Proud of independent, Birmingham-made theatre? We are taking THREE 'wildly imaginative' projects to the Edinburgh Festival Fringe"
143B,Temple of Hope,Fiction,Canada,Narendra Simone,A fast-paced thriller that exposes the dark underworld of India and will take you on a nail-biting roller coaster ride.
652C,Houseworld,Immersive,United States,Andrew Hoepfner,"A new immersive theater performance in which 30 guests enter a mansionone by one, and step into a lucid dream."
426C,The Rising Star Project (Documentary),Musical,United States,The 5th Avenue Theatre,Join us in making a documentary of our groundbreaking musical theatre program for high school students.
483C,Life is a DreamFree Show in Prospect Park,Theater,United States,A Festival of Fools,"A Festival of Fools is producing its second annual free verse play in Prospect ParkBrooklyn""Life is a Dream"" by Pedro Calderon de la Barca."
399C,A Home for Comedy in Vermont!,Spaces,United States,Vermont Comedy Club,ONLY HOURS LEFT ON THE CAMPAIGN! Our stretch goal is $35k; let's build a home for standup/improv shows & classes in VT!
108,Creating Ivy + Beanthe Musical,Theater,US,"Nina Meehan, Executive Director BACT",Bay Area Children's Theatre is creating a new musical based on the New York Times bestselling books by Annie Barrows.
330B,FRUIT FLY: THE MUSICAL @ the 2012 MN Fringe Festival,Theater,United States,Max Wojtanowicz,"Can a gay man and a straight woman - a fruit and a fruit fly - ""quit each other"" to find true love? Find out in this brand new musical!"
394C,Launching Umbrella Project,Theater,United States,Norah Elges,Dedicated to making Seattle a destination for new work by increasing accessibility and developing renewable sources of revenue.
574C,Hereafter Musical,Theater,United States,Vinnie Favale & Frankie Keane,"""Hereafter Musical"" explores what happens when a loved one dies from the perspective of both the living AND the dead."
332C,Missing: Wynter,Musical,United States,New Theatre Works,A new musical about a young girl who disappears without a traceher father's struggle to find herand ultimatelyhimself.
51,Stairwell Theater: As You Like It,Immersive,US,Sam Gibbs,"Help us present As You Like It in Prospect Park, as the first play of our 2015: Hidden Nature Season!"
131,Shark Bay Pirate Festival,Festivals,US,Kittye Williams,"Oklahoma's First Pirate Festival opens November 14 & 15, 2015. Step back to 1620 Port Morgan, Hispaniola & let loose your inner pirate!"
88,Dreamplay: Puppets & Masks in The NYC Fringe Festival,Theater,US,Joseph Jonah Therrien,"Masks, puppets, and Suzuki-based movement create a psychedelic landscape of dream images onstage. Help get this production to New York!"
648C,Be a Part of Sanguine Theatre Company!,Theater,United States,Jillian,"Help us raise funds for our 2013 season; ""The Pavilion"" by Craig Wright""Exit 27"" by Aleks Merilo& our ""Project Playwright Festival"""
121,Verdigris - A Play by Jim Beaver,Plays,US,Jim Beaver,"VERDIGRIS: A play written by Jim Beaver, star of Supernatural and Deadwood, opening March 2015 at Theatre West in Los Angeles."
154B,The Big Aha: A Novel,Fiction,United States,Rudy Rucker,"Quantum wetware, telepathy, and cosmic slack for a wild young crowd.  Fun!  But beware of the hungry wormholes..."
25,Pawpaw: The story of America's forgotten fruit,Nonfiction,United States,Andy,This is a book about the pawpaw - a mostly forgotten fruit native to North America.
500C,Middle Names: A World Premiere New Play,Theater,United States,Corey O'Hara,Middle Names is a wild new play to be premiered at the 2014 Fertile Ground Festival!
103,A Thought in Three Parts,Plays,United States,Frank Theater Company,"FRANK, a newborn company, presents Wallace Shawn's famously unproduced,""A Thought in Three Parts.""Be FRANK with us!"
100C,Fat PigThe Play!,Plays,United States,Alexandra Castro,Bringing one of Neil LaBute's incredibly witty and viciously honest playsabout body image and the effect it has on usto life!
204B,Numb: a collaboration with the New Orleans Pharmacy Museum,Theater,United States,Goat in the Road Productions,Numb is a performance about the ecstasy and limits of pain relief told through the history of anesthesiology.
48,Above the Noise: a new A Capella Musical - Demo Recording,Musical,United States,Jermaine Golden & Rick Burkhardt,We need your help! A quality Demo of our original music is the next step in getting this new musical off of the page & onto the stage!
382B,City Boy,Theater,United States,Armando Batista,A solo piece about returning home.
215C,Puberty: The Musical,Musical,United States,Ryan O'Hara,It feels like the first time. Like the very first time everyone's coming-of-age comes to the stage. Think 'Wicked'with bad acne.
417B,ODEON CABARET,Musical,Italy,NHK,Un teatro abbandonato da anni pieno di possibilità  e storia nel centro della città  deve risorgere. Non abbandoniamo la cultura!
228C,Revealed: the photographs of Francesco Mellina,Publishing,United Kingdom,Michael March,REVEALED is a book of black and white photographs of bands and their audiences taken in and around music venues between 1977-82.
313C,Walker Stalker's: The Walking Dead Experience - Chapter 1,Immersive,United States,Walker Stalkers,Walker Stalkers & Skybound's The Walking Dead lock you into two truck trailers with walkers.  Can you find a way out alive?
488C,spacestation1985,Theater,United States,Natalie George,spacestation1985 is a live action science fiction psychological roller coaster coming to austin texas in september of 2012.
60,Bride of Frankenstein,Experimental,US,Sackerson,A new adaptation of the cult classic-- staged in a warehouse using the entire soundtrack (music+dialogue) from the 1935 film.
204C,End of the Reel: The Columbian Theater Goes Digital,Theater,United States,Jeanine Fairchild,"Due to recent industry requirements, by the end of summer 2013, the Columbian Theater will be required to go digital or go dark!"
38,Uncle Vanya:  Quarter-Life Crisis,Theater,US,Goat in the Road Productions,"Anton Chekhov's classic play, updated for our times."
70,Murmuration Theater wants to make MAKESHIFT,Theater,US,Murmuration Theater,"An original play by Jessie Bear, developed in collaboration with Nell Bang-Jensen, Brian Ratcliffe and Isa St. Clair."
12,Three Goats Gruff,Children's Books,US,Greg Luzniak,"Once upon a time, in a land far away, there lived three goats, and their names were Gruff."
288B,Home Is Where You Park It,Art Books,United States,Foster Huntington,Home Is Where You Park It: A photographic exploration of #vanlife by Foster Huntington.
193C,HE WHOfrom Theatre Zarko and Michael Montenegro,Theater,United States,michael montenegro,Darkly comic and surreala project set to premiere on th Steppenwolf Theater Garage stage in Feb. 2012.  We need you to back us today.
370B,Ohana: A Musical,Theater,United States,Howard Egger-Bovet,We dream to belong. The lives of guests and hotel staff weave a story of the precious power of family
421C,Early Days (of a better nation),Theater,United Kingdom,Coney HQ,Early Days is a new kind of performance putting audiences across the country in charge of building a new society - from the ground up.
352C,Residency at Caldera,Theater,United States,Hand2Mouth,"Hand2Mouth will spend one month in residence at Caldera in snowy central Oregon finishing our newest project""Uncanny Valley""."
202B,SEND ROBERT BROWNING TO THE FRINGE!,Theater,United States,Julian Lopez-Morillas,"In honor of Robert Browning's 200th birthday, we're taking the solo show SLEEP TO WAKE to Edinburgh's Fringe Festival this August."
22,The Longest Shortest Time: Season 2,Radio & Podcasts,US,Hillary Frank,"A podcast about surprising struggles in early parenthood, created and hosted by award-winning author and radio producer Hillary Frank."
186C,Summer FourPlay,Plays,United States,Kate Reinking,Four Directors.  Four One Acts.  Four Genres.  For You.
314C,HAPPYOUTH,Theater,United States,Nick Hulstine,"A new dark comedy about drugs, clowns, violence...and Jake Gyllenhaal."
425C,Melissa Arctic At the Road Theatre,Plays,United States,Road Theatre,"A play with songs written by Craig Wrightbased on Shakespeare's ""The Winter's Tale"" set in late 20th CenturyPine CityMinnesota."
182C,Faustus,Plays,United Kingdom,I'll Be Right Back,I'll Be Right Back presents a story of murder and corruption. Faustus is a modern re-imagining of Christopher Marlowe's classic tale.
347C,TRADE PRACTICES 2014,Immersive,United States,David Evans Morris & Kristin Marting,An historic building on Governors Island is transformed into a living market through this immersive site-specific event.
451C,"""The A to Z Guide to Jobs for Girls"" ABC Board Book",Children's Books,United States,Charles Dowd,"An adorably illustrated children's ABC board book featuring career options for girls such as Astronaut, Firefighter, and Quarterback!"
6,The Clothes Letters Wear,Children's Books,US,Jeremy Dooley,Bring typography to life for your young child.
