S/N,COUNTRY,PROJECT TITLE,PROJECT CATEGORY,OWNER NAME,BLURB
273B,United States,"""Man Saved By Condiments!"" Presented By Theatre Arlo",Theater,Bill Stiteler,"Based on the true story of a man who drove off a bridge, broke his hip, and survived for five days by eating snow and condiment packets"
274B,United Kingdom,Made In Birmingham Performed At Edinburgh Fringe 2014,Festivals,Kiln (Formerly Kindle Theatre),"Proud of independent, Birmingham-made theatre? We are taking THREE 'wildly imaginative' projects to the Edinburgh Festival Fringe"
275B,United States,Wonderland Escapades,Musical,Maria Russell,"""Wonderland Escapades"" is an Anti-Bully Musical based on the characters and scenes of 'Alice in Wonderland'."
276B,United States,The Girl Who Swallowed The Sun,Experimental,Felicia Cooper,A solo puppet show created entirely out of repurposed materials that weaves together global heliocentric folklore!
277B,United States,Grammar Land Performances,Plays,Sean Lenihan,I want to create a theatrical performance of the book Grammar Land and present it at schools to help children learn proper grammar.
278B,United States,Puffs,Theater,Colin Waitt,A Freaks and Geeks style comedy about the least popular house at a certain school of magic and magic.
279B,Sweden,Murder Ballad - Någon Måste Dö. En Musikal Från Broadway,Musical,Patrik Martinsson,Murder Ballad. Ett kärleksdrama med fyra skådespelare i regi av Morgan Alling. En rockmusikal i en akt.
280B,United States,Titus Andronicus (With An All-Female Cast & Crew),Plays,G. Todd Buker,"Shakespeare's bloodiest tragedy, performed and produced exclusively by women."
282B,United States,Boost House,Poetry,Steve Roggenbuck,"Boost House will be a publisher and intentional community in Maine, USA, whose goal is to make it cool to be positive and activist."
283B,United States,The Nature Of Code Book Project,Nonfiction,Daniel Shiffman,"A book about applying topics from mathematics, physics, and generative algorithms to computational systems. With Processing!"
284B,United States,Go-Go Girls Of The Apocalypse Ii: The Luxury Wars - A Novel,Fiction,Victor Gischler,An eBook sequel to the cult hit Go-Go Girls of the Apocalypse published by Simon & Schuster in 2008.  A satirical action adventure.
285B,United States,Blue.River.Apple.,Poetry,Nancy Nelson,"Diagnosed with Alzheimer's, and while still in the early stages, I decided to explore the disease through poetry. This is my story."
286B,United States,True Stories: We Made Up.,Publishing,Michael Johnson & Chris Johnson & Dave Beebe,Short story collection based on the lives of the three authors. They fill in the cracks of their memories with braggadocio & folklore.
287B,United States,"""Afros - A Celebration Of Natural Hair"" By Michael July",Art Books,Michael July,This is a 450 page book that captures the spirit and diversity of Afros & natural hairstyles today.
288B,United States,Home Is Where You Park It,Art Books,Foster Huntington,Home Is Where You Park It: A photographic exploration of #vanlife by Foster Huntington.
289B,United States,Mondo 2000: An Open Source History,Publishing,R.U. Sirius,"Mondo 2000: An Open Source History will be a fantastic experiment in collaborative historical narrative. Demented, poignant, funny and surreal"
290B,United States,30-Hour Comedy Podcast Marathon And Tour,Radio & Podcasts,Keith & The Girl,We're raising money to create a 30-hour comedy marathon and an upcoming tour to celebrate our 10-year podcast anniversary.
291B,United States,Wolftree Vol. #2,Publishing,Noah Kupcho,"A quarterly printed publication that shares the stories of makers, dreamers, and adventurers of the Midwest."
292B,United States,We'Re Making A Pocket-Sized Guide For Portland-Bound Bikers!,Publishing,Pdx By Bike,We are creating a travel guide so that people visiting Portland can see our town the way locals do-by bicycle!
293B,United States,The Casamena Radio Hour Volume 1 Cdx2,Radio & Podcasts,Carlos Mena,"Carlos Mena presents the CASAMENA Radio Hour Vol 1, a  2-CD Mix and Compilation featuring new and unreleased Deep and Afro house."
294B,United States,Launching Books Non-Destructively: New Anomalous,Publishing,Anomalous Press,"Six amazing, some emerging authors with books ready to be made flesh. Well, paper."
295B,United States,Elected - A Dystopian Novel By Author Rori Shay,Fiction,Silence In The Library Publishing,"In a dystopian future, Aloy must lead a people while facing intrigue, assassination, and love, all while masquerading as a man."
296B,United States,Neutrons/ Protons In Print,Literary Journals,Sophie Lucido Johnson,Our little literary magazine wants to get bigger. We want to print books and more issues and editions. We need your help.
297B,United Kingdom,Feel Brave! Stories To Help Children Manage Tough Emotions.,Children's Books,Avril McDonald,Help us build a basic application to give children access to the 'Feel Brave' characters and their stories and poems.
298B,United States,#Stock Tips: A Zine About Soup,Zines,Rachel Fershleiser,Because the world needs a lo-fi tribute to everyone's favorite meal.
299B,United States,Continuous City,Art Books,Brian Foo,"An illustrated book exploring imagined landscapes and topographies for New York City, told through conversations and paintings"
300B,United States,"Enso Theatre Ensemble's ""Pride & Prejudice""",Plays,Caitlin Lushington,"Perception. Impulse. Love. The Enso Theatre Ensemble presents Jane Austen's ""Pride & Prejudice"" like you've never seen it before."
301B,United Kingdom,Portrait By Above Bounds Theatre Collective,Festivals,George Boundy,"Portrait is Above Bounds new family show which uses comedy, mask, puppetry and clowning in order to tell a story."
302B,United Kingdom,Over The Top: The True-Life Tale Of Dorothy Lawrence',Plays,The Heroine Project Presents,"New show with 2 performers and an original score, bringing the true story of this forgotten WW1 heroine to audiences in the southwest."
303B,United States,Haruki Murakami's Sleep At Berkeley Rep's Ground Floor,Theater,Ripe Time,Help the Obie-winning Ripe Time launch work on adapting Haruki Murakami's SLEEP at Berkeley Rep's Ground Floor Summer Residency Lab!
304B,United States,Get. That. Snitch. - The World's Most Dangerous Play,Plays,Great Minds Creative Productions,"A stylishly sinister story about blood, guns, and raw ambition. You can help Great Minds bring the world's most dangerous play to life!"
305B,United States,Raft: A New Play By Emily Kitchens,Festivals,The Group Lab,"Faith. Home. Kin. RAFT is the slanted tale of sisters adrift, premiering this August at the Edinburgh Festival Fringe."
306B,United States,"""First You Jump"" World Premiere",Musical,Eva Moon,"Bring ""First You Jump"" - a surreal and darkly comic new musical play by Eva Moon - to the stage for its world premiere."
307B,United States,Entrainment,Theater,The Voyeur Theatre Collective,Theatre is dying - we want to save it.
308B,United States,Bamif Cker/Kaffeehaus,Experimental,Little Lord,"You thought you knew Bambi, but look what happens when you start to scratch the surface..."
309B,United States,"""The Snow Queen: A New Pop/Rock Musical"" At Nymf 2014!",Musical,Haddon Kime,"A steampunk inspired, pop/rock musical adaptation of H.C. Andersen's fairy tale adventure @ The 2014 New York Musical Theater Festival!"
310B,United States,Send Geppetto To The Mountains Of Boulder!,Theater,Concrete Temple Theatre,"Concrete Temple Theatre is taking ""Geppetto: Extraordinary Extremities"" to The International Boulder Fringe. Help us get to Boulder!"
311B,United States,"Or, The Whale: An Original Stage Adaptation Of Moby-Dick",Plays,Kate Russell,Experience the great American novel like never before.... Through the magic of live storytelling in an epic and threadbare sort of way.
312B,United States,Too Much Light Heads To The Edinburgh Fringe!,Festivals,"The (SF, NY & Original) Neo-Futurists","Neo-Futurists from New York, Chicago and San Francisco unite to bring Too Much Light to the Edinburgh Fringe Festival!"
313B,United States,Piezoelectric Love:  The (Half) Life Of Marie Curie,Theater,Jeff Mills,"Piezoelectric Love is a multi-disciplinary, multi-media theater experience that explores the extraordinary life of Marie Curie."
314B,United States,The Handsome Little Devils Are Going Big For The Big Apple! ,Theater,Cole Schneider,Our home-grown theatre company has the chance of a lifetime--we're playing the Big Apple! We open at the New Victory THIS FALL! Now. . . help? 
315B,United Kingdom,The Thinking Drinkers' Guide To The Legends Of Liquor,Festivals,Ben McFarland & Tom Sandham,Thinking Drinkers explore the liquid lives of history's most extraordinary elbow-benders in a brand new show to premiere at the Fringe
316B,United States,Wisconsin Studio Productions Presents 9 Circles,Theater,Stuart Mott,"""It happened in the middle of their war and you have scared them, Mr. Reeves. You tore the war open. You have done the unimaginable."""
317B,United States,Fjords,Theater,Manual Cinema,FJORDS is a live-scored cinematic shadow puppet show based on the poetry of Zachary Schomburg.
318B,United States,"Antigone, Adapted And Directed By Jack Bourgeois",Theater,Cold Basement Dramatics,This new adaption of Sophocles' ANTIGONE is set in the 1960s mirrors the politics of that period.
319B,United States,Bringing First Love/Worst Love To Life,Plays,Rebecca Cox + Julie Civiello (Deleted),"First Love/Worst Love is an examination of love and its mutability, as expressed through twelve stories and five actors on one stage."
320B,United States,"The Wall, An Original Devised Play",Theater,April Green,A woman enters her dream and faces a wall. An exploration in a dream-landscape of our individual and collective longing.
321B,United States,Independents At Fringe Nyc,Theater,Charlie Polinger,A new folk-rock musical out of Yale seeks money for a NYC Fringe production
322B,United States,Sister My Sister,Theater,Marcus Pontello,"A performance duet between Marcus Pontello & West Williams as they embody, rearticulate, and queer the mythology of Narcissus and Echo."
323B,United States,Alcatraz: Art Behind Bars,Theater,The Island Collective,A renegade group of artists has found inspiration on The Rock! Join them Oct 30 for a ONE-TIME immersive theatrical experience!
324B,United States,South Brooklyn Shakespeare - 'Romeo & Juliet.',Theater,Paul & Dee.,Free outdoor Summer Shakespeare on the streets of South Brooklyn!
325B,United States,Labrats Present 'Harry And Pep',Theater,James,"Our first production, 'Harry and Pep'. We've spent the year working and now we're looking to share it with the world, with your help"
326B,United States,The Odyssey On Angel Island,Theater,We Players,"We Players presents THE ODYSSEY on ANGEL ISLAND  an all-day, island-wide performance adventure in the San Francisco bay."
327B,United States,"Sprat Theatre's: ""One Day In The Life Of Henri Shnuffle""",Theater,Ryan Elisabeth Reid,"An integrated, immersive theatre performance held in an apartment: featuring elderly Professor Henri Shnuffle for one day of his life."
328B,United States,"The Revenger's Tragedy: Revenge Is Sweet, So Give Us Some Sugar!",Theater,Joya Scott,"Festina Lente presents its inaugural production, a radical adaptation of The Revenger's Tragedy."
329B,United States,"New, Original Adaptation Of ""The Little Mermaid.""",Theater,Adapt Theatre Productions,"Adapt Theatre Productions, a Chicago-based company formed by alumni of Oklahoma City University, is producing their inaugural show."
330B,United States,Fruit Fly: The Musical @ The 2012 Mn Fringe Festival,Theater,Max Wojtanowicz,"Can a gay man and a straight woman - a fruit and a fruit fly - ""quit each other"" to find true love? Find out in this brand new musical!"
331B,United Kingdom,Help Sofa Specific Get To Edinburgh!,Theater,Sofa Specific,Semi silent comedy theatre meets the king of all soft furnishings; The Sofa. Help this Theatrical marvel reach Edinburgh!
332B,United States,The Seagull On The River,Plays,Taylor,Anton Chekhov's The Seagull. An outdoor Amphitheater in Manhattan. Trees. A River. Daybreak.
333B,United States,Von Bach 2013: The Valentine's Edition,Theater,The Next Arena,Only a couple of days left!  Only a few CHEAP tickets left!  All tickets will be honored whether we reach funding goal or not.
334B,United States,House Of Yes,Spaces,House Of Yes,"Building Brooklyn's own creative venue for circus, theater and events of all types."
335B,United States,The Night Kitchen Cabaret Presents The Imbolc Blues,Theater,The Night Kitchen Cabaret,"The Imbolc Blues is a surreal and compelling tale from The Night Kitchen Cabaret featuring theatre, circus, music and dance. "
336B,United States,Bronies! The Musical,Musical,Oddbird Theatricals,"In this musical love letter to the fandom experience, three outsiders find purpose, meaning & each other, all thanks to cartoon ponies."
337B,United States,Suburban Motel,Theater,Michelle Pauls,"1 seedy motel room, 2 plays, 9 actors, loads of compromising situations. Suburban Motel by George F Walker in Philadelphia in June."
338B,United States,The Window,Plays,Marta Mondelli,We're bringing The Window to the Cherry Lane Theater in January 2014.
339B,United States,Neverwhere: Neil Gaiman's Nightmare Wonderland @ Rorschach,Theater,Rorschach Theatre,Monsters are real under the streets of London and death waits in the dark of Night's Bridge. Gaiman's cult-classic staged by Rorschach.
340B,United States,Iminami,Theater,Candra Kennedy,"A new sci-fi epic featuring aerial silks, puppetry and live music from the creators of Water Bears in Space"
341B,United States,"Bring The Shadow-Puppet ""Book Of Jonah"" To Life!",Theater,Nick Trotter,"A shadow-puppet adaptation of the biblical ""Book of Jonah,"" premiering at the 2011 International Animated Objects Festival in Calgary."
342B,United States,Kiss-Start Mark Gindick's Wing-Man!,Theater,Mark Gindick,"Follow Mark Gindick's kissing booth to help him build a social media ""Clown Cloud"" for his award-winning one-man show!"
343B,United States,The Rooms Play,Immersive,Copycat Theatre,"Rooms Play is an immersive play about migration, a journey where you become the hero!"
344B,United States,The Doom That Came To Fiddle Creak (Marionette Puppet Play),Theater,Castiron Carousel Marionette Troupe,"A darkly beautiful, Lovecraft-influenced, marionette puppet play for adults, performed this Fall in Portland OR, and beyond."
345B,United States,The Fear,Theater,The Fear,"We are funding to make an action packed, thrilling short film about the beginning of the zombie apocalypse. With an amazing story line."
346B,Canada,"Help Build ""The Castle""",Plays,The Castle Collective,A rare  production of World acclaimed playwright Howard Barker's groundbreaking & provocative 'The Castle'.
347B,United States,Pop! A Theatrical Experience: Project 2016,Experimental,Pop! A Theatrical Experience,"We're cooking up some high-octane performances in 2016.  But we need your help.  We PROMISE you'll love it.  Thank you, friends."
348B,United States,Mighty Real Sylvester Goes To Broadway!,Musical,"Anthonyken, Llc.","MIGHTY REAL,The New SYLVESTER Musical, is coming to Broadway and we need your help! Go to www.FabulousSylvester.com and DONATE TODAY!"
349B,United States,Be A Buddy Not A Bully (Anti-Bullying Stage Play Tour),Plays,Free Lunch Academy,Transforming bystanders into anti-bullies since 2012 thru inclusive learning environments.  Together we can take back our classrooms.
350B,United States,All-Star Video: A 90's Trope,Theater,Bryan Ortiz,Grab your flannel because the 90s are back at the Overtime Theater.
352B,United States,Avery Anthology's 25 Cities Project,Fiction,"Avery House Press, Inc.","A special edition of Avery Anthology, the 25 Cities Project will feature diverse short fiction from America's most populated cities."
353B,United Kingdom,The Sloppy Scotsman,Publishing,Leo Taylor,"THE SLOPPY SCOTSMAN is a new greetings card publishing business looking to put out quirky, funny and original card designs."
354B,United States,Luminous Flux Photography Book,Art Books,Todd Diederich,"Street Photography inspired by cosmology and the heavenly moment that tells you to take this image and run. It is, (y)our world 2013."
355B,United States,Open Letters,Publishing,Open Letters,A print experiment that tests the epistolary form as a device for generating conversations about architecture and design
356B,United States,"Tu Publishing: A Small, Independent Multicultural Sff Press For Children And Ya",Children's Books,Stacy Whitman,"Tu Publishing will publish fantasy and science fiction for children and young adults, emphasizing multicultural characters and settings."
357B,United States,Cinefex Classic Collection For Ipad,Periodicals,New Scribbler Press,Carry the entire history of modern visual effects with you on your iPad.
358B,United States,Wild Plate Is A Creative Culinary Adventure In The Raw,Publishing,Laurel Anderson,"Wild Plate brings you the future of food through a modern, full color, 285 page book featuring 100 raw food recipes for everyone."
359B,United States,Outpost Journal: Baltimore,Art Books,Outpost Journal,"Outpost is an annual, non-profit print publication on art and arts-based community activism from traditionally underexposed cities."
360B,United States,How To Make Amazing Snowflakes,Nonfiction,Elizabeth O'Leary,"Kids make paper snowflakes in school every year, but many of their teachers can't make proper flakes themselves.  Now they will."
361B,United States,Girlfag: A Life Told In Sex And Musicals,Nonfiction,Janet W. Hardy,"A new memoir/exploration by Janet W. Hardy, the author or coauthor of The Ethical Slut and many other classics"
362B,United States,Littlest Lovecraft: The Call Of Cthulhu,Children's Books,Tro Rex & Eyo Bella,A collaborative full color illustrated children's book style adaptation of H. P. Lovecraft's The Call of Cthulhu.
363B,United States,Panacea,Fiction,No One's Home,"Panacea is a collection of short, experimental fictions & essays."
364B,United States,Tom Tom Magazine: A Magazine About Female Drummers Issue #4,Nonfiction,Tom Tom Magazine,Help us raise money to print Issue #4 of the ONLY magazine for female drummers in the WORLD!
365B,United States,The Indeterminate Length,Art Books,Mike Calway-Fagen & Rujeko Hockley,"A full-color exhibition catalog including literary essays by Ivy Cooper, Rujeko Hockley, and Itza Vilaboy."
366B,United States,Publication Of The Homeland Of Pure Joy By William Dewey,Fiction,Maybeparade Press,William Dewey's third novel is the first major publication for maybeparade press.  We are seeking funding for printing and promotions.
367B,United States,Jennifer Wen Ma's First Comprehensive Artist Book,Art Books,Jennifer Wen Ma,"I'm making the first monograph covering a decade of my artwork, exploring my visual vocabulary, conceptual themes, and methodology."
368B,United Kingdom,"""Apollo: The Panoramas"" Hardcover Book Of Stunning Photos",Nonfiction,Mike Constantine,Apollo: The Panoramas is a hardcover book containing over 50 stunning lunar surface panoramas from the Apollo missions to the Moon
369B,United States,Alan: A Book About What It Means To Exist,Fiction,John Hex Carter,Alan is a book about the world's first artificially intelligent program and learning where that program fits in among the world.
370B,United States,Ohana: A Musical,Theater,Howard Egger-Bovet,We dream to belong. The lives of guests and hotel staff weave a story of the precious power of family
371B,United Kingdom,We Just Keep Going,Plays,Elle Van Knoll,"The world premiere of hysterically funny and heartbreaking story about family, unconditional love and facing the unfaceable"
372B,United States,Fanaticon Beta,Festivals,Dothan Fanatix (Phillip Chalker),"FANATICON is a multi-genre pop-culture festival for Southern Alabama. Featuring 2 days of Anime, Gaming, SciFi, Comics, Art and Music"
373B,United States,How To Be A Goodperson™,Immersive,Lamplighter Productions,A radically inclusive theatre piece about a world where facebook likes and systematic racism receive equal attention.
374B,United States,Dark Matter Premiere Season,Theater,Jordan Bean,Art as activism.
375B,United States,The Seagull Project Presents: The Three Sisters,Plays,The Seagull Project,"After electrifying audiences in Seattle and Tashkent, The Seagull Project embarks on a brand new journey."
376B,United States,Southern Shakespeare Festival,Festivals,Southern Shakespeare Festival,Bringing FREE Shakespeare to Florida and the Big Bend.
377B,Netherlands,Normal Things' In Nijmegen,Experimental,Matthías Sigurðsson & María Arnardóttir,An electronic music show where everyday objects become something completely out of ordinary.
379B,United States,Bring Love's Labour's Lost To Minnesota,Plays,The Moving Company,"The birth-child of The Moving Company, Theatre de la Jeune Lune & William Shakespeare:  A wild new production of Love's Labour's Lost."
380B,United States,Celebrating 20 Years Of The 24 Hour Plays Around The World!,Plays,The 24 Hour Plays,An annual campaign supporting our intensive for artists 25 and under.
381B,United States,901 Nowhere Street,Experimental,Sam Tower,Sharply surreal theatre injects classic noir genre with a dose of hypnotic physical expression and an all-female gang of anti-heroines.
382B,United States,City Boy,Theater,Armando Batista,A solo piece about returning home.
383B,United States,"Imagined, Armenia Through Shadow Puppetry",Theater,Hany Hommos & Nini Ayach,A collaborative project in Yerevan to create a puppetry project inspired by personal accounts relating to Armenian identity.
384B,United States,We Play Chekhov,Plays,Graham,Two stories by Anton Chekhov adapted for the stage and performed back-to-back in a stunning live theatrical performance.
385B,United States,Twig Theatre Project,Theater,Brett Evans,"Twig is an ever-so-magical, traveling theatre of puppetry.Help me finish the theatre, the lighted props & the Earth Shaman Puppet."
386B,United States,Shakespeare's The Tempest In Roswell - Steampunk Done Right!,Theater,North Fulton Drama Club,"Exiled from a world he knew, Prospero created a New World. Part magical, part mechanical, this is our Steampunk Tempest."
387B,United States,Nursery Crimes,Plays,Last Act Theatre Co.,A 40s crime-noir play using nursery rhyme characters.
388B,United States,Lelavision's Heavy Metal Devices,Theater,Lelavision,Lelavision's newest and biggest show features eight characters perfoming on twenty outrageous metal instruments.
389B,United States,Thewholeworldiswatching : A Devised Promenade Playwithmusic,Theater,Stephen Ptacek,"Walk around with us as we explore life in Chicago during the week of the 1968 Democratic Convention with Drama, Movement and Song."
390B,United States,Shrek The Musical,Theater,Home Base Theatre,Produce the regional premiere of 'Shrek the Musical' to fund theatre in our hometown school.
391B,United States,Pb&J Theatre Factory's Sleigh,Theater,PB&J Theatre Factory,"PB&J Theatre Factory's festive comedy, Sleigh, promises to make audiences laugh their way through the holidays!"
392B,United States,The Godot Cycle,Theater,Yes Let's Go Prod.,Beckett's masterpiece looped endlessly. No intermissions. No breaks. No stopping. 2 marathon performances: 30 & 54 hrs.
393B,United States,Slfs Digital Deadline - Digital Projector Conversion,Theater,Salt Lake Film Society,We're going digital! SLFS needs 7 digital projectors to present the movies you love. Beat the Digital Deadline @ Broadway & Tower.
394B,United States,"Riot Act, Inc. Presents The Threepenny Opera",Theater,"Riot Act, Inc.",Riot Act Inc. presents The Threepenny Opera by Brecht & Weill.  Support this project for an unforgettable theatre experience.
395B,United States,Kafka On The Shore,Plays,Claire Huntington,A student led production at Northwestern U. of an adaptation by Frank Galati of the classic book Kafka on the Shore by Haruki Murakmi.
396B,United States,Dynasty Handbag Presents Soggy Glasses,Experimental,Jibz Cameron,Soggy Glasses: Dynasty Handbag's new ambitious monomythic failure at BAM.
397B,United States,Toy Box Theatre Company Expands To A Two-Show Season,Theater,Toy Box Theatre Company,"Support Toy Box Theatre Company to expand to a two-show season, starting with David Caudle's The Short Fall"
398B,United Kingdom,My Beautiful Black Dog,Musical,Brigitte Aphrodite,Gig meets theatre meets a tidal wave of glitter. A poetically joyous musical exploring the beautiful complexity of mental health.
399B,United States,Insatiable! 7Th Asian American Playwrights' Festival,Festivals,SIS Writers Group,Help Insatiable! develop diverse stories and voices of Asian American playwrights through our annual play reading festival in Seattle.
400B,United States,Living At Home ,Theater,Nina Corrado,"Set in 1963, John struggles to find the meaning of life after dropping out of college and now living at home. "
401B,United States,Woman School: A Modern Farce,Theater,Vintage Theater Collective (Deleted),"Vintage Theater proudly presents the world premiere of Woman School, a new adaptation of The School for Wives by Moliere."
402B,United States,It's All That Glitters: Burlesque Extravaganza,Theater,Brian C. Janes,"Photo Gallery, Burlesque Show, and Group Book Signing to celebrate the release of my first coffee table book, ""It's All That Glitters""."
403B,United Kingdom,Islands (Or How To Play Dirty And Get Away With It),Experimental,Caroline Horton,"Award winning Caroline Horton's illuminating and powerful ink-black new comedy about the monstrous, secretive world of tax havens."
404B,United Kingdom,What Became Of Harley Warren?,Theater,Re:Conception Theatre,"A new play based on ""The Statement of Randoph Carter""         by H.P. Lovecraft"
405B,United States,"Living Creatures, A New Play By Ashley Rose Wellman",Theater,Ashley Rose Wellman,A groundbreaking new play about a family torn apart by death stumbling into an afterlife that looks exactly like their home. Almost.
406B,United States,Two Little Girls,Theater,Spencer Novich,A survival guide by two little girls portrayed by two grown men who currently perform with Cirque du Soleil and Le RÃªve.
407B,United Kingdom,What Big Eyes You'Ve Got: New Play With Animations And Music,Theater,Katerina Pushkin,"Creating two work-in-progress showings of our new play, a sensory fairytale with original live music, animation, silly beards & carrots"
408B,United States,"Tedious Brief's Debut Of ""Tempests"" @ The 2011 Mn Fringe",Theater,Tedious Brief Productions,James Cameron's classic movie Aliens is re-imagined as a Shakespearean sequel to The Tempest.
409B,United States,Undergroundzero Festival,Theater,Undergroundzero Festival & Cooperative,"The undergroundzero experimental theater festival presented at the Living Theatre and Clemente Soto Velez June 26 - July 28, 2012"
410B,United States,The Temperamentals - Northwest Premiere,Theater,Roy Arauz,"The Temperamentals chronicles the founding of the Mattachine Society, the first sustained gay rights organization in the United States."
411B,United States,Speed Curses At Collar Works Art Space,Theater,Josh Chambers,Speed Curses is a psychically crushing performance extravaganza and manifesto about art-making in the form of an operatic baseball game
412B,United States,"""My Spiritual Death, A Comedy Show!""",Theater,Katie Rubin,"Katie's third Solo Show honors and makes overt fun of addiction recovery, personal growth and spiritual healing."
413B,United Kingdom,Black Dog Gold Fish,Theater,Sam Bailey,Amélie meets David Lynch in this touching show to help us talk about depression.
414B,United States,Mementos Mori,Experimental,Manual Cinema,"A live cinematic shadow puppet show about death and technology, premiering at the Museum of Contemporary Art Chicago in 2015"
415B,United States,Old World Scotland Renaissance Town,Festivals,Lisa M. Darington,"A living history renaissance town for all ages, current time frame for completion is Jan. 1, 2017 amongst a rain forest created by man"
416B,United Kingdom,"Faustaff, Or The Mockery Of The Soul",Theater,Andrés Conde. Artistic Producciones,Faustaff is a feminist version of the Faustian Myth where a woman sells her soul for success.
417B,Italy,Odeon Cabaret,Musical,NHK,Un teatro abbandonato da anni pieno di possibilità  e storia nel centro della città  deve risorgere. Non abbandoniamo la cultura!
418B,United States,Kickstart The Crossroads Community,Spaces,Crossroads Creative,"An epicenter for connection, creation and expression of the community."
419B,United States,Educational Webinars For Non-Equity Theater Actors,Theater,Volunteer Theatre Actors Association,Non-Equity Actors need access to training and education too! We would like to provide such webinars free of charge.
420B,United States,Shakespeare In Asl - And Free For Everyone,Plays,Red Theater Chicago,Shakespeare's classic re-imagined as a spoken and signed production for deaf and hearing audiences
422B,United States,Thirty Two: Subscription Drive For Minnesota's New Magazine,Periodicals,Katie Eggers,Thirty Two's goal is to cre­ate the Twin Cities' most thought-provoking and intellectually engaging magazine.
423B,United States,Thrilling Tales Of The Downright Unusual: The Toaster With Two Brains,Fiction,Bradley W. Schenck,"Thrilling Tales of the Downright Unusual is a series of illustrated, interactive stories from the Future That Never Was - on the web, and in print."
424B,United States,Grim Tides: A Marla Mason Novel,Fiction,Tim Pratt,"Grim Tides will be a free-to-read online serial novel about Marla Mason, latest in the urban fantasy series started with Blood Engines."
425B,United States,Portland Oregon Street Art Graffiti Book: Volume Two,Art Books,Seattle Street Art,"My interest in street art and graffiti has led me to launch a book series to help preserve urban art in Portland, OR."
426B,United States,Damn Fine Coffee! A Twin Peaks Fan Zine,Art Books,Andrea Kalfas,A collection of artwork in homage to the notorious TV series Twin Peaks by nearly 30 talented illustrators.
427B,United States,Positano: Dream Place,Fiction,Kristen Schwarz,"What do we seek now when we travel, and how do we share it in a compelling way?  Help me build a book on Positano and travel writing. "
428B,United States,"Hello, Absurd World: A Book Of 5 Minute Poems",Fiction,H.M.,"Hello, Absurd World is a book of poems written to strangers: unedited poetic communications. I am fundraising to self-publish the book."
429B,United Kingdom,Artificial Womb Zine,Zines,Ana Hine,"A feminist arts zine, which pays its contributors a fair wage. Committed to grassroots activism, leftist solidarity & saving the bees."
430B,United States,Cat Scratchin' A Collection Of Good Cats And Their People,Art Books,Linda Sheets,A book of colorful folk art scratchboard drawings of rescued cats with their stories including the people who love them.
431B,United States,"Updating ""Producing Open Source Software"" For 2Nd Edition",Nonfiction,Karl Fogel,"It's time to update my 2005 book ""Producing Open Source Software: How to Run a Successful Free Software Project"". Help me do it right."
432B,United States,"Borg Like Me, The Writings Of Gareth Branwyn",Nonfiction,Gareth Branwyn,"Cyberculture pioneer Gareth Branwyn (Boing Boing, Mondo 2000, Wired, MAKE) presents a compelling collection of his work."
433B,United States,Fictionbrigade -- Online Literary Magazine,Fiction,Sabrina Ricci (Deleted),"Enjoy a good story but don't have much free time? Support FictionBrigade, an online literary magazine that publishes flash fiction!"
434B,United States,Saucy Magazine: Dangerous Food,Periodicals,Kristen Taylor,What if a print food magazine was a little bit dangerous?
435B,United States,A Story Each Day,Fiction,Nicholas Sailer,"Writer and award-winning director Nicholas Sailer is writing a short story every day for 365 days, throughout the entire year of 2014."
436B,United States,"The Afterlife Series: Heaven, Hell, Earth, Wasteland, War",Publishing,Mur Lafferty,"Best friends Kate and Daniel die, go to heaven, and then begin exploring different afterlives."
437B,United States,Electric Literature's Recommended Reading,Periodicals,Halimah Marcus & Benjamin Samuel,"Recommended Reading is a free, weekly, digital magazine that introduces you to new fiction while supporting indie publishers."
438B,United States,Bilocal: Seattle-New Orleans. Create & Present New Writing & Art About Community,Nonfiction,Bob Redmond,"A performance and exhibit on the theme of community, Bilocal: Seattle-New Orleans incorporates writers, designers,  musicians, filmmakers and chefs."
439B,United Kingdom,Firewords Quarterly,Periodicals,Dan Burgess,Firewords Quarterly is a newsprint magazine packed full of powerful fiction and poetry - all enhanced by bold design.
440B,United Kingdom,Eutco Presents Scenes From Tom Wells' 'The Kitchen Sink',Festivals,Exeter University Theatre Company,EUTCo's new project brings you comedy with a punch. Please help us to take it to the Edinburgh Fringe this August!
441B,United Kingdom,The Munitionettes,Plays,Fun In The Oven Theatre,"Help us bring to life tales of hardship, danger and community of extraordinary women working in WW1 munitions factories."
442B,United States,Michael The Rebel,Theater,Manon Manavit,"A new play based on the German literary classic 'Michael Kohlhaas' by Heinrich von Kleist, a true story of revolution and revenge."
443B,United States,The Incredible Fox Sisters,Plays,Live Source,"Live Source's world premiere of a new play by Jaclyn Backhaus, premiering at the New Ohio Theatre October 30th-November 8th."
444B,United States,Woodshed Collective Presents: Empire Travel Agency,Immersive,Teddy Bergman,"A theatrical adventure crisscrossing Manhattan, that uncovers a secret underworld lurking in the shadows of NYC's epicenter of power."
445B,United States,"Almost, Maiden-Save Maiden High School's Almost, Maine",Theater,Carmen Eckard,"Maiden HS's principal  abruptly canceled the production of Almost, Maine after meeting with a local church group. The show must go on!"
446B,United States,The Hurtling Stillness. A Story About Angels And Clowns,Plays,The WhiteListed Theatre Company,The Whitelisted Theatre Company is a non-profit arts organization dedicated to producing the most relevant European plays in NYC.
